"HERIDO","MUERTO","SOLO_DAÑOS","kmm.cluster"
427,5,134,"Accidentalidad media-alta"
409,3,412,"Accidentalidad media-alta"
1097,16,1290,"Accidentalidad baja"
344,8,230,"Accidentalidad media-alta"
0,0,1,"Accidentalidad alta"
17,0,27,"Accidentalidad alta"
418,4,344,"Accidentalidad media-alta"
530,6,352,"Accidentalidad media-alta"
167,0,149,"Accidentalidad alta"
35,0,65,"Accidentalidad alta"
368,4,316,"Accidentalidad media-alta"
803,9,763,"Accidentalidad baja"
231,7,61,"Accidentalidad media-alta"
297,2,134,"Accidentalidad alta"
26,0,20,"Accidentalidad alta"
715,9,1015,"Accidentalidad baja"
231,3,110,"Accidentalidad alta"
406,0,238,"Accidentalidad media-alta"
207,3,72,"Accidentalidad alta"
325,1,116,"Accidentalidad alta"
75,0,17,"Accidentalidad alta"
92,2,42,"Accidentalidad alta"
1125,18,1217,"Accidentalidad baja"
30,0,5,"Accidentalidad alta"
275,2,94,"Accidentalidad alta"
4,0,0,"Accidentalidad alta"
